National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Abbo,,,,,,,,,,,,,,,,,,,,,2375,,,,,,,,,,,,,,,,2375
Abbuoto,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,696
Abondant,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Abouriou,,,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,419
Abrusco,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,399
Adakarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48
Afus Ali,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,328
Agadai,,,,,,,,,,,,,,,,,,,,,,,,,1265,,,,,,,,,,,,1265
Agiorgitiko,,,,,,,,,,,,,,,,2320,,,,,,,,,,,,,,,,,,,,,2320
Aglianico,,,,,,,,,,,,,,,,,,9264,,,,,,,,,,,,,,,,,,,9264
Aglianicone,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,148
Agronomica,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,19
Airen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387978,,,,,,,387978
