National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of plantin,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Japan,Kazakhstan,Luxembourg,Mexico,Moldova,Morocco,Myanmar,New Zealand,Peru,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States ,Uruguay
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,CHN,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,JPN,KAZ,LUX,MEX,MDA,MAR,MMR,NZL,PER,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,THA,TUN,TUR,UKR,GBR,USA,URY
Abbo,,,,,,,,,,,,,,,,,,,,,,,,,2375,,,,,,,,,,,,,,,,,,,
Abbuoto,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,
Abouriou,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrusco,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,
Acolon,,,,,,,,,,,,,,,,440,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,
Adakarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,
Afus Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
Agiorgitiko,,,,,,,,,,,,,,,,,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aglianico,,53,,,,,,,,,,,,,,,,,9910,,,,,,,,,,,,,,,,,,,,,,,,,
Aglianicone,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,
Agni,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agronomica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,
Agua Santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,
Airen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252364,,,,,,,,
Aladasturi,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726,,,,,,,,
Alb de Ialoveni,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Albana,,,,,,,,,,,,,,,,,,,1523,,,,,,,,,,,,,,,,,,,,,,,,,
Albanello,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
Albaranzeuli Bianco,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
