"Commune","Qté tot réc par les caves particulières (hl)","Part Vins AOP rouge/rosé réc (%)","Part Vins AOP blanc réc (%)","Part Vins IGP rouge/rosé réc (%)","Part Vins IGP blanc réc (%)","Part Vins sans IG et autres rouge/rosé réc (%)","Part Vins sans IG et autres blanc réc (%)","Accès au graphique de la part des types de vin / couleur","code"
"07-ALBA-LA-ROMAINE","3368","1.8","0.2","14.7","81","2.3","0","url:../graphs/rpart/rpart_c35.html","07"
"07-ARLEBOSC","297","10.1","2","53.2","22.2","12.1","0.3","url:../graphs/rpart/rpart_c36.html","07"
"07-ARRAS-SUR-RHONE","391","52.2","5.4","22.7","14.8","4.9","0","url:../graphs/rpart/rpart_c37.html","07"
"07-BOURG-SAINT-ANDEOL","8670","87.2","3.2","1.3","0","8.1","0.3","url:../graphs/rpart/rpart_c38.html","07"
"07-CHARNAS","2394","41.5","11.7","19","17.3","7.1","3.4","url:../graphs/rpart/rpart_c39.html","07"
"07-CHATEAUBOURG","1912","84.3","7.6","6.4","0.8","0.8","0","url:../graphs/rpart/rpart_c40.html","07"
"07-COLOMBIER-LE-VIEUX","175","0","0","65.2","0","34.8","0","url:../graphs/rpart/rpart_c41.html","07"
"07-CORNAS","2341","84.9","11","0.3","0","3.8","0.1","url:../graphs/rpart/rpart_c42.html","07"
"07-FELINES","153","24.3","0","10.5","0","60.4","4.8","url:../graphs/rpart/rpart_c43.html","07"
"07-GLUN","249","88.6","9.6","0","0","0.6","1.2","url:../graphs/rpart/rpart_c44.html","07"
"07-LAGORCE","7688","10.4","0.4","61.6","26.7","0.8","0","url:../graphs/rpart/rpart_c45.html","07"
"07-LIMONY","1649","36.7","22.5","24.4","14.6","1.6","0.2","url:../graphs/rpart/rpart_c46.html","07"
"07-MAUVES","3678","73.2","20.4","0.8","0","5.3","0.4","url:../graphs/rpart/rpart_c47.html","07"
"07-ROSIERES","710","0","0","63.9","32.2","1.4","2.5","url:../graphs/rpart/rpart_c48.html","07"
"07-SAINT-DESIRAT","493","74","11","3.4","5","4.4","2.3","url:../graphs/rpart/rpart_c49.html","07"
"07-SAINT-JEAN-DE-MUZOLS","2189","83.1","7.9","2.2","0.7","4.6","1.6","url:../graphs/rpart/rpart_c50.html","07"
"07-SAINT-JULIEN-EN-SAINT-ALBAN","1015","81.1","2.2","0","0","16.7","0","url:../graphs/rpart/rpart_c51.html","07"
"07-SAINT-JUST","9623","63.1","0.8","30.7","2.6","2.2","0.5","url:../graphs/rpart/rpart_c52.html","07"
"07-SAINT-MARCEL-D'ARDECHE","15270","78.7","1.1","11.5","0.5","8.1","0.1","url:../graphs/rpart/rpart_c53.html","07"
"07-SAINT-MARTIN-D'ARDECHE","4010","76.5","3.8","9.3","1.8","8.4","0.2","url:../graphs/rpart/rpart_c54.html","07"
"07-SAINT-MONTAN","1050","55.8","0","17.7","0","21.5","4.9","url:../graphs/rpart/rpart_c55.html","07"
"07-SAINT-PERAY","1059","59.8","31.8","3.9","0","4.4","0.1","url:../graphs/rpart/rpart_c56.html","07"
"07-SAINT-REMEZE","2039","17.5","0.5","67.5","13.8","0.6","0","url:../graphs/rpart/rpart_c57.html","07"
"07-SARRAS","866","72.8","11.9","1","12.4","1.7","0.2","url:../graphs/rpart/rpart_c58.html","07"
"07-SECHERAS","277","46.6","13.2","19.6","10.6","7.5","2.5","url:../graphs/rpart/rpart_c59.html","07"
"07-SERRIERES","765","72.9","22.9","0","0","2","2.1","url:../graphs/rpart/rpart_c60.html","07"
"07-TOULAUD","190","11.2","59.2","0","0","29.6","0","url:../graphs/rpart/rpart_c61.html","07"
"07-TOURNON-SUR-RHONE","592","76.5","7.7","3","4.8","8","0","url:../graphs/rpart/rpart_c62.html","07"
"07-VALLON-PONT-D'ARC","6197","0.1","0","89.9","8.4","1.5","0","url:../graphs/rpart/rpart_c63.html","07"
"07-VALVIGNERES","3076","0","0","72.3","12.7","11.8","3.2","url:../graphs/rpart/rpart_c64.html","07"
"07-VINZIEUX","338","10.3","4.7","15.8","14.7","54.4","0.1","url:../graphs/rpart/rpart_c65.html","07"
