"Commune","Qté tot réc par les caves particulières (hl)","Part Vins AOP rouge/rosé réc (%)","Part Vins AOP blanc réc (%)","Part Vins IGP rouge/rosé réc (%)","Part Vins IGP blanc réc (%)","Part Vins sans IG et autres rouge/rosé réc (%)","Part Vins sans IG et autres blanc réc (%)","Accès au graphique de la part des types de vin / couleur","code"
"07- SAINT-PONS","977","0","0","0","100","0","0","url:../graphs/rpart/rpart_c57.html;D'autres informations","07"
"07- LUSSAS","2442","0","0","0","100","0","0","url:../graphs/rpart/rpart_c45.html;D'autres informations","07"
"07- SAINT-PERAY","1201","52.5","38","2.5","0","7","0","url:../graphs/rpart/rpart_c56.html;D'autres informations","07"
"07- BOURG-SAINT-ANDEOL","7470","78.1","3.6","13.6","1.8","2.7","0.1","url:../graphs/rpart/rpart_c36.html;D'autres informations","07"
"07- CHATEAUBOURG","2317","79.3","9.5","7.3","3","1","0","url:../graphs/rpart/rpart_c38.html;D'autres informations","07"
"07- VILLENEUVE-DE-BERG","1224","0","0","0","60","25.8","14.2","url:../graphs/rpart/rpart_c66.html;D'autres informations","07"
"07- TOURNON-SUR-RHONE","641","79.9","10.2","1.9","1.4","6.6","0","url:../graphs/rpart/rpart_c62.html;D'autres informations","07"
"07- SAINT-JULIEN-EN-SAINT-ALBAN","620","92.3","0","0","0","7.7","0","url:../graphs/rpart/rpart_c51.html;D'autres informations","07"
"07- GRAS","3113","2.7","0.9","77.7","18.8","0","0","url:../graphs/rpart/rpart_c41.html;D'autres informations","07"
"07- SAINT-MARCEL-D'ARDECHE","15088","81","1.1","13.2","0.5","4","0.3","url:../graphs/rpart/rpart_c53.html;D'autres informations","07"
"07- SAINT-MONTAN","1072","33.7","0","21.5","0","41.3","3.4","url:../graphs/rpart/rpart_c55.html;D'autres informations","07"
"07- SARRAS","932","74.1","17.2","0.4","7.2","0.9","0.2","url:../graphs/rpart/rpart_c58.html;D'autres informations","07"
"07- TOULAUD","206","12.4","70.2","0","0","17.5","0","url:../graphs/rpart/rpart_c61.html;D'autres informations","07"
"07- VALLON-PONT-D'ARC","5340","0.1","0","90.8","8.3","0.8","0","url:../graphs/rpart/rpart_c63.html;D'autres informations","07"
"07- VALVIGNERES","3684","0","0","55.4","24.3","16.4","4","url:../graphs/rpart/rpart_c64.html;D'autres informations","07"
"07- VERNOSC-LES-ANNONAY","199","49.8","17.3","13.9","8.7","10.3","0","url:../graphs/rpart/rpart_c65.html;D'autres informations","07"
"07- LAGORCE","8052","9.6","0.5","62.5","25.5","1.3","0.5","url:../graphs/rpart/rpart_c42.html;D'autres informations","07"
"07- SAINT-JUST-D'ARDECHE","10357","61.8","1.8","21.4","3.7","10.2","1.1","url:../graphs/rpart/rpart_c52.html;D'autres informations","07"
"07- SAINT-DESIRAT","683","78","6.3","3.9","2.3","5.8","3.7","url:../graphs/rpart/rpart_c48.html;D'autres informations","07"
"07- MIRABEL","1222","0","0","3.5","96.5","0","0","url:../graphs/rpart/rpart_c47.html;D'autres informations","07"
"07- VINZIEUX","361","5.4","4.6","25.8","0","41.3","22.9","url:../graphs/rpart/rpart_c67.html;D'autres informations","07"
"07- LAVILLEDIEU","937","0","0","0","100","0","0","url:../graphs/rpart/rpart_c43.html;D'autres informations","07"
