"Commune","Cave coopérative","Qté tot livrée à la cave coop (hl)","Part Vins AOP rouge/rosé livrée (%)","Part Vins AOP blanc livrée (%)","Part Vins IGP rouge/rosé livrée (%)","Part Vins IGP blanc livrée (%)","Part Vins sans IG et autres rouge/rosé livrée (%)","Part Vins sans IG et autres blanc livrée (%)","code"
"07-ALBA-LA-ROMAINE","07-CAVECOOP D'ALBA","24426","0","0","83.2","16.2","0.6","0","07"
"07-BERRIAS-ET-CASTELJAU","07-VIGNERONS COTEAUX DE JALES","51015","0","0","85.5","13.9","0.7","0","07"
"07-BESSAS","07-CAVECOOP DE BESSAS BRUJAS","7214","0","0","92.1","7.9","0","0","07"
"07-BOURG-SAINT-ANDEOL","07-CAVECOOP DE BOURG ST ANDEOL","52476","35.9","1.9","56.8","5.1","0.1","0.2","07"
"07-LABLACHERE","07-CAVECOOP DE LABLACHERE","22832","0","0","79.3","12.8","7.9","0","07"
"07-LARGENTIERE","07-CAVECOOP DE LARGENTIERE","14031","0","0","88","9.3","2.8","0","07"
"07-LES VANS","07-CAVECOOP DES VANS","7600","0","0","91.5","4.9","3.6","0","07"
"07-PAYZAC","07-CAVECOOP DE PAYZAC","6857","0","0","98.9","0","1.1","0","07"
"07-ROSIERES","07-CAVECOOP DE ROSIERES","23024","0","0","85.2","10.2","4.5","0.1","07"
"07-RUOMS","07-COOP DE VIGNERONS SUD ARDECHE","35825","0","0","80.6","18.6","0.8","0","07"
"07-SAINT-DESIRAT","07-CAVE COOP DE SAINT DESIRAT","20411","68.5","5.6","22.1","3.8","0","0","07"
"07-SAINT-ETIENNE-DE-FONTBELLON","07-CAVECOOP LES VIGNERONS DES COT","20655","4.9","0","77.9","14.1","2.5","0.5","07"
"07-SAINT-MARCEL-D'ARDECHE","07-CAVECOOP DE ST JUST ST MARCEL","20598","70.8","0","25.9","3.2","0.1","0","07"
"07-SAINT-SAUVEUR-DE-CRUZIERES","07-CAVECOOP DE ST SAUVEUR DE CRUZ","28963","0","0","87.4","10.9","1.6","0","07"
"07-VALVIGNERES","07-CAVECOOP DE VALVIGNERES","22613","0","0","56.9","42.5","0.6","0","07"
"07-VILLENEUVE-DE-BERG","07-CAVECOOP DE VILLENEUVE DE BERG","36789","0","0","68.2","31","0.8","0","07"
"07-VIVIERS","07-CAVECOOP DE VIVIERS","17718","2.5","0","90.2","5.5","1.8","0","07"
"07-VOGUE","07-CAVECOOP DE VOGUE","25853","0","0","63.4","35.7","0.9","0","07"
"11-ARGELIERS","11-CAVE COOP LA LANGUEDOCIENNE","96822","0.1","0","68.5","22.2","8.8","0.4","11"
"11-ARZENS","11-SCAV LA MALEPERE-ARZENS","154030","2.3","0","85.3","8.7","3.7","0","11"
"11-AZILLE","11-CAVE COOPERATIVE AZILLE","24188","0.8","0","82.7","14.9","1.6","0","11"
"11-BARBAIRA","11-CAVE COOPERATIVE BARBAIRA","24405","6.7","0","81","1.2","9.2","1.9","11"
"11-BIZANET","11-CAVE COOP DE BIZANET","21766","32.6","0.3","60.9","5.2","1","0","11"
"11-CAMPLONG-D'AUDE","11-SCAV VIGNERONS DE CAMPLONG","9046","77","1.1","19.7","1.7","0.4","0","11"
"11-CANET","11-SCAV LA VIGNERONNE","90192","0","0","88.7","9.4","2","0","11"
"11-CASCASTEL-DES-CORBIERES","11-CAVE COOPERATIVE DE CASCASTEL","26164","76.4","5.6","15.3","0.9","1.8","0","11"
"11-CAUNES-MINERVOIS","11-SCAV CAUNES-TRAUSSE REUNIS","33504","4.1","0","75.7","1.8","18.4","0","11"
"11-CAVANAC","11-SCAV VIGNOBLES DE CARSAC","44707","0","0","89.5","10.3","0.2","0","11"
"11-COMIGNE","11-LES GRAPPES D'ALARIC A COMIGNE","48079","13","0.1","72.6","2.7","11.6","0","11"
"11-CONQUES-SUR-ORBIEL","11-SCAV VIGNOBLE ALLIANCE","41574","8.7","0","78.2","4.1","8.5","0.6","11"
