"Commune","Cave coopérative","Qté tot livrée à la cave coop (hl)","Part Vins AOP rouge/rosé livrée (%)","Part Vins AOP blanc livrée (%)","Part Vins IGP rouge/rosé livrée (%)","Part Vins IGP blanc livrée (%)","Part Vins sans IG et autres rouge/rosé livrée (%)","Part Vins sans IG et autres blanc livrée (%)","code"
"07- BOURG-SAINT-ANDEOL","07-CAVECOOP DE BOURG ST ANDEOL","43198","30.8","1.5","60.3","5.9","0.2","1.3","07"
"07- VILLENEUVE-DE-BERG","07-SCA LES VIGNERONS DE MONTFLEUR","24013","0","0","72.7","17.4","2.2","7.7","07"
"07- LABLACHERE","07-CAVECOOP DE LABLACHERE","20704","0","0","77.2","17.1","5.7","0","07"
"07-LES VANS","07-CAVECOOP DES VANS","7612","0","0","86.6","6.3","3.9","3.3","07"
"07- SAINT-MARCEL-D'ARDECHE","07-CAVECOOP DE ST JUST ST MARCEL","19124","68.5","1.1","24.9","5.5","0","0","07"
"07- SAINT-ETIENNE-DE-FONTBELLON","07-CAVECOOP LES VIGNERONS DES COT","19417","6","0","75.4","18.6","0","0","07"
"07- RUOMS","07-COOP DE VIGNERONS SUD ARDECHE","35938","0","0","77.1","17.5","0.3","5","07"
"07- VALVIGNERES","07-CAVECOOP DE VALVIGNERES","23808","0","0","62.5","36.1","1.3","0","07"
"07- SAINT-SAUVEUR-DE-CRUZIERES","07-CAVECOOP DE ST SAUVEUR DE CRUZ","30688","0","0","84.4","10.8","1.7","3","07"
"07- VIVIERS","07-CAVECOOP DE VIVIERS","17835","2.6","0","86.2","7.6","1.7","1.9","07"
"07- SAINT-DESIRAT","07-CAVE COOP DE SAINT DESIRAT","20518","73.7","4.6","18.8","2.9","0","0","07"
"07- ROSIERES","07-CAVE COOP LA CEVENOLE","36207","0","0","86.8","8.9","2.5","1.8","07"
"07- VOGUE","07-CAVECOOP DE VOGUE","25167","0","0","54.4","41.8","0.3","3.5","07"
"07- ALBA-LA-ROMAINE","07-CAVECOOP D'ALBA","20460","0","0","74","20","0.1","5.9","07"
"07- BERRIAS-ET-CASTELJAU","07-VIGNERONS COTEAUX DE JALES","51962","0","0","80.5","15.3","0.6","3.6","07"
"07- BESSAS","07-CAVECOOP DE BESSAS BRUJAS","9198","0","0","84.5","3.1","0.3","12.1","07"
"11- FABREZAN","11-SCAV CELLIER CHARLES CROS","68717","34.5","1.1","60.2","3.7","0.4","0","11"
"11- SAINT-LAURENT-DE-LA-CABRERISSE","11-CAVE COOP DE ST LAURENT","15241","49.4","7.1","37.3","4.6","1","0.6","11"
"11- LEZIGNAN-CORBIERES","11-SCA LE CHAI DES VIGNERONS","24359","29.2","0.3","64.7","2.9","1.7","1.3","11"
"11- TREBES","11-SCAV DE LA REGION DE TREBES","36011","0","0","89.1","6.7","1.2","3.1","11"
"11- AZILLE","11-CAVE COOPERATIVE AZILLE","33571","0","0","75.1","20.8","2.3","1.9","11"
"11- BIZANET","11-CAVE COOP DE BIZANET","22831","31.1","0","55","11.4","2.5","0","11"
"11- CONQUES-SUR-ORBIEL","11-VIGNERONS DU TRIANGLE D OR","36107","4.5","0","82.2","5.5","7.5","0.3","11"
"11- GRUISSAN","11-SOC COOPERATIVE VINIFICATION","13646","45.1","5.1","30.6","14.9","0.7","3.7","11"
"11- CAUNES-MINERVOIS","11-SCAV CAUNES-TRAUSSE REUNIS","34893","5.5","0","83.3","4","7.3","0","11"
"11- LAURE-MINERVOIS","11-CELLIER LAURAN CABARET","55585","19.1","1.1","75.3","3.9","0.5","0","11"
"11- LEUCATE","11-CAVE COOP LEUCATE","58078","70.8","6.8","7","1.3","11.3","2.8","11"
"11- PEYRIAC-MINERVOIS","11-SCAV TOUR SAINT MARTIN PEYRIAC","15019","33.5","1.1","52.2","8.1","4.9","0.2","11"
"11- PORTEL-DES-CORBIERES","11-SCV LES CAVES ROCBERE","74455","54.9","2.8","36.3","3.9","2.1","0","11"
"11- FLEURY","11-CAVE COOP LA VENDEMIAIRE","79910","0.3","0.1","65.6","19","12.5","2.5","11"
"11- CUXAC-D'AUDE","11-SCA DE GEMINIAN","62103","0","0","59.6","32.5","3","4.8","11"
"11- CASCASTEL-DES-CORBIERES","11-CAVE COOPERATIVE DE CASCASTEL","22149","79.5","3.3","15.4","1.3","0.4","0","11"
"11- CAVANAC","11-SCAV VIGNOBLES DE CARSAC","43647","0","0","85.6","14","0.4","0","11"
"11- ORNAISONS","11-SCAV LES CELLIERS D ORPHEE","49563","36.2","0.4","58","4.7","0.7","0","11"
"11- ARZENS","11-SCAV LA MALEPERE-ARZENS","119964","1.9","0","80.4","12.2","4.7","0.7","11"
"11- VENTENAC-EN-MINERVOIS","11-SCV LE CHATEAU DE VENTENAC","7404","1.7","0","78.4","7.3","12.6","0","11"
"11- GINESTAS","11-SCV LA GINESTO","26301","0","0","74.9","0","25.1","0","11"
"11- MARSEILLETTE","11-CAVE COOP MARSEILLETTE","36930","1.8","0","79.2","14.8","4","0.2","11"
"11- MONTREDON-DES-CORBIERES","11-CAVE COOP DE MONTREDON","33901","29.2","1.7","55.1","12","1.7","0.2","11"
"11- CANET","11-SCAV LA VIGNERONNE","111331","0","0","78.4","12.7","8.9","0","11"
"11- POUZOLS-MINERVOIS","11-SCV POUZOLS-MAILHAC","40282","15.1","0.1","62.2","13.1","9.3","0.3","11"
"11- TALAIRAN","11-SCAV LES TERROIRS DU VERTIGE","40242","35.9","0.1","61.1","2.8","0","0","11"
"11- MONTBRUN-DES-CORBIERES","11-SCA L'AVENIR","20338","35.8","0","53.8","1.2","9.2","0","11"
"11- TOUROUZELLE","11-SCAV LES 2 TERROIRS","38284","5.8","0","65.1","24","2.9","2.2","11"
"11- CAMPLONG-D'AUDE","11-SCAV VIGNERONS DE CAMPLONG","9946","73.5","2.5","21","2.3","0.7","0","11"
"11- MOUX","11-CAVE COOPERATIVE MOUX","21023","25","0","60.9","5.1","8.9","0","11"
"11- TUCHAN","11-SCA MONT TAUCH","47941","85.4","1.8","11.9","0.7","0.1","0","11"
"11- VILLESEQUELANDE","11-SCAV LA VOIE ROMAINE","74015","0.4","0","84.4","12.3","2","0.8","11"
"11- COURSAN","11-CAVE COOPERATIVE COURSAN","191563","3.3","0.5","57.7","25.1","9.6","3.8","11"
"11- ROUTIER","11-CAVE DU RAZES - ROUTIER","182721","1.3","0","81.4","14.3","0.7","2.3","11"
"11- EMBRES-ET-CASTELMAURE","11-SCV EMBRES","13379","89.8","0.9","0","0","8.8","0.5","11"
"11- PEPIEUX","11-CAVE COOPERATIVE PEPIEUX","106730","5.6","0.1","65.2","21.1","6.7","1.4","11"
"11- PUICHERIC","11-SCA CELLIERS DU NOUVEAU MONDE","71523","8","0","50.6","34.2","1.5","5.7","11"
"11- HOMPS","11-SCAV ALLIANCE MINERVOIS","176994","12.3","0.4","65.8","14.6","5","2","11"
"11-LA REDORTE","11-SCAV L'AVENIR - LA REDORTE","66518","0","0","83.2","5.7","11.1","0","11"
"11- BARBAIRA","11-CAVE COOPERATIVE BARBAIRA","34504","10.2","0","71.5","4.5","8","5.9","11"
"11- CAPENDU","11-LES TERRASSES DE L'ALARIC","42320","11.6","0","75.6","10.1","2.7","0","11"
"11- ARGELIERS","11-SCA LA LANGUEDOCIENNE ET SES V","135529","0.4","0","48.2","24.5","25.8","1","11"
"11- OUVEILLAN","11-LES VIGNERONS DU NARBONNAIS","135348","1.4","0","59.5","21.7","16.6","0.8","11"
"11- MONTSERET","11-SCAV DE MONTSERET","21797","52.7","0","45","0.4","1.9","0","11"
"11- NEVIAN","11-SCAV NEVIAN","66015","5.5","0","76.1","5.8","11.7","0.8","11"
"11- LIMOUX","11-CAVE COOP ANNE DE JOYEUSES","134415","1.2","0.3","76.6","19.1","2.3","0.6","11"
"11- LIMOUX","11-COOP VIGNERONS SIEUR D ARQUES","105057","0.3","51.3","23.8","17.3","0","7.2","11"
