Nom_com,Num_com,Viniféra de table,Miscat de hambourg,Chasselas blanc,Chasselas rose,Viniféra divers de cuve,Madeleine royale,Alicantes Bouschet,Aligoté,Altesse,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,mondeuse blanche,Mondeuse noire,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Aiguebelette le lac,73001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,100,,,180
Aiguebelette,73002,,,,,,,1423,,,,247,,,,,,,,636,,,,,,6428,,,,,3694,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660,2075,,,,325,5488,,,,17574,653,,,,3555,154,,,11863,,68,56887
Aigueblanche,73003,,,2212,,,,1655,,4260,,,,,,,,1688,,727,,,2641,,,700,,,,,741,,,,,,,,,,,,538,,,,,,490,3257,,,,,,,,,,,,,,,610,395,,,,,,,,,12110,100,,,,,,,,,,,32124
Aime,73006,,,,,2131,,255,,,,,,,,,,,,,,,656,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,4399,9241
Aiton,73007,,,209,,250,,14201,,62,797,,,,,,,,,1100,,,3230,,,33451,,,,,53379,61,,124,,36,,,,,,,9978,76,517,,150,,,,,,,,326,,,,,,2559,268,,,1041,226,,50,,28,679,,,,63481,658,,,,18884,2573,763,,3214,265,,212636
Aix les bains,73008,,,255,,130,,19609,4100,,,,,,,480,,,,15198,,,6250,,,126076,,,,,38080,800,,650,,,,,200,,,,79602,250,,,,,,,,645,,,3050,,,,,,24433,,,,880,200,,,,100,60,1750,,1205,118297,6162,,,,,905,,,,,32712,482079
Albens,73009,,,,,,,,,270,,,,,,,,,,2838,,,,,,6010,,,,,7405,,,,,,,,,,,,33551,,,,,,,,,743,,,,,,,,767,,1200,,,200,721,,,,1562,4868,585,,,1508721,2049,,,,4476,360,,,2147,,615,1579088
Alberville,73011,,,2894,,200,,705,,4767,,,,,,,,,,2423,,,500,,,6892,130,,,,140950,,,,,1400,,,,361,,,5327,,,,,,,,,,,130,,,,,,36,,,,,200,,,,,380,,,,500,16379,500,,,,3220,,,,1154,,233916,422964
Allondza,73014,,,,,,,,,,,,,,,,,,,,,,224,,,3552,,300,,,15352,,,,,,,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534,210,,,,,,,,,,,22047
les Allues,73015,,,523,,1490,,10348,,,2762,,,,,,,,,1400,,,43244,,,,,,,,16988,,,,109,,1739,,,,,,,18661,,,,,2160,375,,,,,,,,,,,8888,,,,,,,,,,,,,,9989,,,,,,1780,,,,200,14806,135462
